split,game_id,game_date,team_blue,team_red,winning_team,top_blue,jgl_blue,mid_blue,adc_blue,sup_blue,top_red,jgl_red,mid_red,adc_red,sup_red
LEC 2025 Summer Season,70369,2025-08-02,Fnatic,Team Heretics,Fnatic,Gragas,Trundle,Syndra,Ezreal,Neeko,Aatrox,Jax,Aurora,Xayah,Rakan
LEC 2025 Summer Season,70365,2025-08-02,Karmine Corp,Natus Vincere,Karmine Corp,KSante,Xin Zhao,Ryze,Ezreal,Nautilus,Chogath,Jarvan IV,Yone,Kaisa,Neeko
LEC 2025 Summer Playoffs,72642,2025-09-28,Movistar KOI,G2 Esports,G2 Esports,Sion,Maokai,Ryze,Yunara,Nautilus,Kled,Wukong,Cassiopeia,Xayah,Rakan
LEC 2025 Summer Playoffs,72633,2025-09-27,Movistar KOI,Fnatic,Movistar KOI,Ambessa,Pantheon,Taliyah,Tristana,Alistar,RekSai,Vi,Galio,Kaisa,Gragas
LEC 2025 Summer Playoffs,72491,2025-09-26,Karmine Corp,Fnatic,Fnatic,KSante,Xin Zhao,Orianna,Varus,Braum,Ambessa,Wukong,Galio,Kaisa,Alistar
LEC 2025 Summer Playoffs,72362,2025-09-15,Fnatic,GIANTX,Fnatic,Rumble,Nocturne,Azir,Xayah,Rakan,KSante,Xin Zhao,Taliyah,Ezreal,Rell
LEC 2025 Summer Playoffs,72367,2025-09-14,Movistar KOI,G2 Esports,G2 Esports,Sion,Wukong,Azir,Sivir,Braum,Kled,Xin Zhao,Taliyah,Zeri,Rell
LEC 2025 Summer Playoffs,72357,2025-09-13,Karmine Corp,Team Vitality,Team Vitality,Sion,Poppy,Taliyah,Yunara,Alistar,Rumble,Pantheon,Morgana,Varus,Nautilus
LEC 2025 Summer Playoffs,71856,2025-09-08,Movistar KOI,Fnatic,Fnatic,Varus,Xin Zhao,Galio,Xayah,Rakan,Aurora,Wukong,Orianna,Sivir,Rell
LEC 2025 Summer Playoffs,71851,2025-09-07,Karmine Corp,G2 Esports,Karmine Corp,Rumble,Skarner,Orianna,Corki,Nautilus,Kled,Poppy,LeBlanc,Kaisa,Rell
LEC 2025 Summer Playoffs,71846,2025-09-06,GIANTX,Team BDS,GIANTX,Yorick,Vi,Azir,Kaisa,Rakan,Ambessa,Wukong,Ziggs,Ezreal,Bard
