split,game_id,game_date,team_blue,team_red,winning_team,game_time,gold_diff,gold_diff_at14
LEC Summer Playoffs 2024,61239,2024-07-26,Team BDS,Karmine Corp,Team BDS,1523,10000,1210
LEC Summer Playoffs 2024,61240,2024-07-26,Karmine Corp,Team BDS,Team BDS,2555,-10900,2071
LEC Summer Playoffs 2024,61241,2024-07-26,Karmine Corp,Team BDS,Karmine Corp,1925,6300,3057
LEC Summer Playoffs 2024,61242,2024-07-26,Team BDS,Karmine Corp,Team BDS,1834,13200,-750
LEC Summer Playoffs 2024,61183,2024-07-23,SK Gaming,Karmine Corp,SK Gaming,1611,12300,2983
LEC Summer Playoffs 2024,61184,2024-07-23,Karmine Corp,SK Gaming,Karmine Corp,1968,7800,-517
LEC Summer Playoffs 2024,61180,2024-07-23,GIANTX,Team BDS,GIANTX,2367,10800,1858
LEC Summer Playoffs 2024,61181,2024-07-23,Team BDS,GIANTX,Team BDS,2018,11800,828
LEC Summer Playoffs 2024,61175,2024-07-22,Fnatic,G2 Esports,Fnatic,2087,6000,-2643
LEC Summer Playoffs 2024,61176,2024-07-22,G2 Esports,Fnatic,Fnatic,2850,-8100,-105
LEC Summer Playoffs 2024,61177,2024-07-22,G2 Esports,Fnatic,G2 Esports,1849,6600,1842
LEC Summer Playoffs 2024,61178,2024-07-22,Fnatic,G2 Esports,Fnatic,1556,13800,1154
LEC Summer Playoffs 2024,60641,2024-07-21,Movistar KOI,Karmine Corp,Karmine Corp,1715,-8700,899
LEC Summer Playoffs 2024,60638,2024-07-21,Team Heretics,GIANTX,Team Heretics,1586,13900,3916
LEC Summer Playoffs 2024,60639,2024-07-21,GIANTX,Team Heretics,GIANTX,2066,9600,-876
LEC Summer Playoffs 2024,60647,2024-07-14,G2 Esports,Team BDS,G2 Esports,1989,7900,1462
LEC Summer Playoffs 2024,60644,2024-07-14,SK Gaming,Fnatic,Fnatic,1635,-15000,2335
LEC Summer Playoffs 2024,60271,2024-07-13,Karmine Corp,G2 Esports,G2 Esports,2040,-11500,-1387
LEC Summer Playoffs 2024,60268,2024-07-13,Fnatic,GIANTX,Fnatic,1482,8200,-310
LEC Summer Playoffs 2024,60269,2024-07-13,GIANTX,Fnatic,Fnatic,1964,-14300,-4695
LEC Summer Playoffs 2024,60265,2024-07-12,Team BDS,Movistar KOI,Team BDS,2280,2300,1335
LEC Summer Playoffs 2024,60266,2024-07-12,Team BDS,Movistar KOI,Team BDS,2559,600,-1695
LEC Summer Playoffs 2024,60262,2024-07-12,Team Heretics,SK Gaming,SK Gaming,1890,-10800,-354
LEC Season Finals 2024,62554,2024-09-01,Fnatic,G2 Esports,G2 Esports,3080,-7900,-191
LEC Season Finals 2024,62476,2024-08-31,G2 Esports,Movistar KOI,Movistar KOI,1650,-10500,-1006
LEC Season Finals 2024,62281,2024-08-24,Movistar KOI,Fnatic,Movistar KOI,1811,9100,-25
LEC Season Finals 2024,62276,2024-08-23,G2 Esports,Team BDS,Team BDS,1982,-9200,1280
LEC Season Finals 2024,62124,2024-08-18,G2 Esports,GIANTX,G2 Esports,1557,17200,4178
LEC Season Finals 2024,62119,2024-08-17,SK Gaming,Team BDS,Team BDS,1986,-8000,2996
LEC Season Finals 2024,61461,2024-08-11,G2 Esports,Movistar KOI,G2 Esports,1637,13200,4063
LEC Season Finals 2024,61456,2024-08-10,Team BDS,Fnatic,Fnatic,2369,-15500,-156
LEC Season Finals 2024,62555,2024-09-01,Fnatic,G2 Esports,Fnatic,2249,4900,172
LEC Season Finals 2024,62556,2024-09-01,G2 Esports,Fnatic,G2 Esports,1978,6900,-131
LEC Season Finals 2024,62557,2024-09-01,G2 Esports,Fnatic,G2 Esports,1894,7400,-2718
LEC Season Finals 2024,62477,2024-08-31,G2 Esports,Movistar KOI,G2 Esports,1796,14400,2702
LEC Season Finals 2024,62478,2024-08-31,G2 Esports,Movistar KOI,G2 Esports,1872,10500,-567
LEC Season Finals 2024,62479,2024-08-31,G2 Esports,Movistar KOI,G2 Esports,1832,11000,1255
LEC Season Finals 2024,62282,2024-08-24,Movistar KOI,Fnatic,Fnatic,1614,-13400,-2235
LEC Season Finals 2024,62283,2024-08-24,Fnatic,Movistar KOI,Fnatic,2375,500,-795
LEC Season Finals 2024,62284,2024-08-24,Movistar KOI,Fnatic,Movistar KOI,2060,1500,-236
LEC Season Finals 2024,62285,2024-08-24,Movistar KOI,Fnatic,Fnatic,2161,-5400,547
LEC Season Finals 2024,62277,2024-08-23,G2 Esports,Team BDS,Team BDS,2632,-8100,977
LEC Season Finals 2024,62278,2024-08-23,G2 Esports,Team BDS,G2 Esports,1637,14200,3717
LEC Season Finals 2024,62279,2024-08-23,G2 Esports,Team BDS,G2 Esports,2431,8200,-2
LEC Season Finals 2024,62280,2024-08-23,G2 Esports,Team BDS,G2 Esports,1669,15100,2253
LEC Season Finals 2024,62125,2024-08-18,G2 Esports,GIANTX,G2 Esports,1874,11300,2373
LEC Season Finals 2024,62126,2024-08-18,G2 Esports,GIANTX,G2 Esports,1499,15200,4816
LEC Season Finals 2024,62120,2024-08-17,Team BDS,SK Gaming,Team BDS,1669,14800,2966
LEC Season Finals 2024,62121,2024-08-17,Team BDS,SK Gaming,Team BDS,1509,11900,3165
LEC Season Finals 2024,61462,2024-08-11,G2 Esports,Movistar KOI,Movistar KOI,2051,-6400,-3672
LEC Season Finals 2024,61463,2024-08-11,G2 Esports,Movistar KOI,G2 Esports,2971,6100,-1980
LEC Season Finals 2024,61464,2024-08-11,G2 Esports,Movistar KOI,Movistar KOI,1679,-12900,-3782
LEC Season Finals 2024,61465,2024-08-11,Movistar KOI,G2 Esports,Movistar KOI,2016,3600,15
LEC Season Finals 2024,61457,2024-08-10,Fnatic,Team BDS,Fnatic,1735,11300,-184
LEC Season Finals 2024,61458,2024-08-10,Fnatic,Team BDS,Fnatic,1892,16500,2950
LEC Winter 2025,63508,2025-02-03,SK Gaming,Fnatic,Fnatic,1735,-16500,-2331
LEC Winter 2025,63507,2025-02-03,G2 Esports,Team Heretics,G2 Esports,1676,11100,3467
LEC Winter 2025,63506,2025-02-03,Karmine Corp,Team BDS,Team BDS,1739,-8000,15
LEC Winter 2025,63505,2025-02-03,Movistar KOI,Natus Vincere,Movistar KOI,1952,14500,2355
LEC Winter 2025,63504,2025-02-03,Team Vitality,GIANTX,Team Vitality,1884,13800,1515
LEC Winter 2025,63503,2025-02-02,G2 Esports,Movistar KOI,G2 Esports,1768,10400,185
LEC Winter 2025,63502,2025-02-02,Team Heretics,Team Vitality,Team Vitality,1959,-13800,-1595
LEC Winter 2025,63501,2025-02-02,Fnatic,Karmine Corp,Fnatic,1646,15600,4223
LEC Winter 2025,63500,2025-02-02,Team BDS,GIANTX,GIANTX,2494,-6900,-2985
LEC Winter 2025,63499,2025-02-02,Natus Vincere,SK Gaming,SK Gaming,1848,-12000,-1055
LEC Winter 2025,63498,2025-02-01,Team Vitality,Karmine Corp,Karmine Corp,2339,-9700,4661
LEC Winter 2025,63497,2025-02-01,Team Heretics,Movistar KOI,Team Heretics,2307,5400,-782
LEC Winter 2025,63496,2025-02-01,Natus Vincere,G2 Esports,G2 Esports,1926,-10800,781
LEC Winter 2025,63495,2025-02-01,GIANTX,Fnatic,Fnatic,1713,-12900,-1993
LEC Winter 2025,63494,2025-02-01,SK Gaming,Team BDS,Team BDS,1740,-13900,-2733
LEC Winter 2025,63270,2025-01-27,SK Gaming,Movistar KOI,Movistar KOI,1674,-14700,-2508
LEC Winter 2025,63269,2025-01-27,Karmine Corp,Team Heretics,Karmine Corp,2227,14300,1771
LEC Winter 2025,63268,2025-01-27,G2 Esports,GIANTX,G2 Esports,1642,12700,4508
LEC Winter 2025,63267,2025-01-27,Fnatic,Team BDS,Fnatic,2632,7000,-1578
LEC Winter 2025,63266,2025-01-27,Team Vitality,Natus Vincere,Team Vitality,2110,11300,1050
LEC Winter 2025,63265,2025-01-26,Team BDS,Movistar KOI,Movistar KOI,1790,-12900,-1773
LEC Winter 2025,63264,2025-01-26,Karmine Corp,Natus Vincere,Karmine Corp,1621,16600,751
LEC Winter 2025,63263,2025-01-26,Fnatic,G2 Esports,Fnatic,1637,9800,-1370
LEC Winter 2025,63262,2025-01-26,SK Gaming,Team Vitality,Team Vitality,1915,-5600,2296
LEC Winter 2025,63261,2025-01-26,GIANTX,Team Heretics,GIANTX,1804,10900,1571
LEC Winter 2025,63260,2025-01-25,Karmine Corp,SK Gaming,Karmine Corp,1349,10000,256
LEC Winter 2025,63259,2025-01-25,Team Vitality,G2 Esports,G2 Esports,2841,-4900,-35
LEC Winter 2025,63258,2025-01-25,GIANTX,Movistar KOI,Movistar KOI,2380,-5300,1058
LEC Winter 2025,63257,2025-01-25,Team BDS,Team Heretics,Team Heretics,2377,-5100,1980
LEC Winter 2025,63256,2025-01-25,Natus Vincere,Fnatic,Fnatic,2240,-5000,-2002
LEC Winter 2025,63062,2025-01-20,GIANTX,Karmine Corp,GIANTX,2240,13900,2389
LEC Winter 2025,63061,2025-01-20,G2 Esports,SK Gaming,G2 Esports,1701,14600,493
LEC Winter 2025,63060,2025-01-20,Movistar KOI,Team Vitality,Movistar KOI,2230,7600,711
LEC Winter 2025,63059,2025-01-20,Team Heretics,Fnatic,Fnatic,1528,-15200,-4852
LEC Winter 2025,63058,2025-01-20,Team BDS,Natus Vincere,Team BDS,2312,12400,-80
LEC Winter 2025,63057,2025-01-19,Fnatic,Team Vitality,Fnatic,1721,16000,4226
LEC Winter 2025,63056,2025-01-19,G2 Esports,Team BDS,Team BDS,1903,-3600,3626
LEC Winter 2025,63055,2025-01-19,Movistar KOI,Karmine Corp,Karmine Corp,2191,-10600,767
LEC Winter 2025,63054,2025-01-19,Natus Vincere,GIANTX,GIANTX,3558,-5900,2641
LEC Winter 2025,63053,2025-01-19,Team Heretics,SK Gaming,Team Heretics,2032,9600,2689
LEC Winter 2025,62982,2025-01-18,Karmine Corp,G2 Esports,Karmine Corp,2260,10100,-198
LEC Winter 2025,62981,2025-01-18,Movistar KOI,Fnatic,Movistar KOI,1807,12800,1096
LEC Winter 2025,62980,2025-01-18,GIANTX,SK Gaming,GIANTX,1987,12400,-902
LEC Winter 2025,62979,2025-01-18,Team Vitality,Team BDS,Team Vitality,1950,11500,439
LEC Winter 2025,62978,2025-01-18,Team Heretics,Natus Vincere,Natus Vincere,2323,-11400,1088
LEC 2025 Winter Playoffs,64753,2025-03-02,G2 Esports,Karmine Corp,Karmine Corp,2187,-8400,-570
LEC 2025 Winter Playoffs,64716,2025-03-01,Karmine Corp,Fnatic,Karmine Corp,2201,11300,-159
LEC 2025 Winter Playoffs,64540,2025-02-28,Fnatic,Movistar KOI,Fnatic,2259,3500,938
LEC 2025 Winter Playoffs,64545,2025-02-24,Karmine Corp,G2 Esports,G2 Esports,1614,-14700,-2896
LEC 2025 Winter Playoffs,64494,2025-02-23,Movistar KOI,GIANTX,Movistar KOI,2140,10100,2334
LEC 2025 Winter Playoffs,64491,2025-02-23,Fnatic,Team BDS,Fnatic,2688,4300,2498
LEC 2025 Winter Playoffs,64197,2025-02-22,Team Vitality,Team BDS,Team BDS,1855,-12400,-1052
LEC 2025 Winter Playoffs,64194,2025-02-22,GIANTX,Team Heretics,GIANTX,1752,13000,1626
LEC 2025 Winter Playoffs,64203,2025-02-17,Karmine Corp,Movistar KOI,Karmine Corp,1611,14000,1630
LEC 2025 Winter Playoffs,64200,2025-02-17,Fnatic,G2 Esports,G2 Esports,2755,-6900,2
LEC 2025 Winter Playoffs,63642,2025-02-16,Karmine Corp,Team Vitality,Karmine Corp,1842,9000,4320
LEC 2025 Winter Playoffs,63639,2025-02-16,Movistar KOI,Team BDS,Movistar KOI,1825,18200,5694
LEC 2025 Winter Playoffs,63636,2025-02-15,G2 Esports,GIANTX,G2 Esports,2555,8200,728
LEC 2025 Winter Playoffs,63633,2025-02-15,Fnatic,Team Heretics,Fnatic,1488,12500,2379
LEC 2025 Winter Playoffs,64754,2025-03-02,G2 Esports,Karmine Corp,Karmine Corp,2001,-12800,-67
LEC 2025 Winter Playoffs,64755,2025-03-02,Karmine Corp,G2 Esports,Karmine Corp,1477,10800,352
LEC 2025 Winter Playoffs,64717,2025-03-01,Fnatic,Karmine Corp,Karmine Corp,2805,-3700,212
LEC 2025 Winter Playoffs,64718,2025-03-01,Karmine Corp,Fnatic,Fnatic,2119,-8100,-1387
LEC 2025 Winter Playoffs,64719,2025-03-01,Karmine Corp,Fnatic,Fnatic,2098,-14800,300
LEC 2025 Winter Playoffs,64720,2025-03-01,Fnatic,Karmine Corp,Karmine Corp,1508,-11400,-4079
LEC 2025 Winter Playoffs,64541,2025-02-28,Movistar KOI,Fnatic,Fnatic,1768,-13100,1159
LEC 2025 Winter Playoffs,64542,2025-02-28,Movistar KOI,Fnatic,Movistar KOI,1679,15100,3192
LEC 2025 Winter Playoffs,64543,2025-02-28,Fnatic,Movistar KOI,Fnatic,1991,7200,1921
LEC 2025 Winter Playoffs,64546,2025-02-24,Karmine Corp,G2 Esports,Karmine Corp,1716,10700,538
LEC 2025 Winter Playoffs,64547,2025-02-24,G2 Esports,Karmine Corp,G2 Esports,2069,13500,2355
LEC 2025 Winter Playoffs,64548,2025-02-24,Karmine Corp,G2 Esports,G2 Esports,1572,-8300,298
LEC 2025 Winter Playoffs,64495,2025-02-23,GIANTX,Movistar KOI,Movistar KOI,1712,-14400,-3356
LEC 2025 Winter Playoffs,64492,2025-02-23,Team BDS,Fnatic,Team BDS,1830,8700,-298
LEC 2025 Winter Playoffs,64493,2025-02-23,Fnatic,Team BDS,Fnatic,2704,7000,-2947
LEC 2025 Winter Playoffs,64198,2025-02-22,Team Vitality,Team BDS,Team Vitality,2141,10800,-2306
LEC 2025 Winter Playoffs,64199,2025-02-22,Team BDS,Team Vitality,Team BDS,2738,6400,997
LEC 2025 Winter Playoffs,64195,2025-02-22,Team Heretics,GIANTX,Team Heretics,2053,7300,-1239
LEC 2025 Winter Playoffs,64196,2025-02-22,GIANTX,Team Heretics,GIANTX,1939,13800,-511
LEC 2025 Winter Playoffs,64204,2025-02-17,Movistar KOI,Karmine Corp,Karmine Corp,1841,-7000,1116
LEC 2025 Winter Playoffs,64201,2025-02-17,Fnatic,G2 Esports,G2 Esports,1750,-8500,375
LEC 2025 Winter Playoffs,63643,2025-02-16,Team Vitality,Karmine Corp,Karmine Corp,2812,-10500,-3377
LEC 2025 Winter Playoffs,63640,2025-02-16,Team BDS,Movistar KOI,Movistar KOI,2466,-8400,3370
LEC 2025 Winter Playoffs,63637,2025-02-15,GIANTX,G2 Esports,G2 Esports,1829,-6200,-1307
LEC 2025 Winter Playoffs,63634,2025-02-15,Team Heretics,Fnatic,Fnatic,2093,-10000,136
LEC 2025 Spring Season,67871,2025-05-13,Team Heretics,Team Vitality,Team Heretics,2034,1500,365
LEC 2025 Spring Season,67552,2025-05-12,Natus Vincere,Movistar KOI,Movistar KOI,1963,-5800,-1004
LEC 2025 Spring Season,67549,2025-05-12,Team Heretics,GIANTX,GIANTX,1699,-9000,-3006
LEC 2025 Spring Season,67546,2025-05-11,G2 Esports,Karmine Corp,G2 Esports,2072,8000,1266
LEC 2025 Spring Season,67543,2025-05-11,SK Gaming,Team Vitality,Team Vitality,2047,-15200,-1875
LEC 2025 Spring Season,67540,2025-05-10,Team Vitality,Karmine Corp,Karmine Corp,1888,-13900,-1253
LEC 2025 Spring Season,67537,2025-05-10,SK Gaming,G2 Esports,G2 Esports,1841,-10500,-355
LEC 2025 Spring Season,67133,2025-05-05,Movistar KOI,SK Gaming,Movistar KOI,1797,18100,4562
LEC 2025 Spring Season,67130,2025-05-05,Fnatic,Team Heretics,Fnatic,1751,12300,177
LEC 2025 Spring Season,67127,2025-05-04,G2 Esports,Team Vitality,G2 Esports,1694,14700,1548
LEC 2025 Spring Season,67124,2025-05-04,GIANTX,Team BDS,GIANTX,2783,6000,837
LEC 2025 Spring Season,67121,2025-05-03,Karmine Corp,Natus Vincere,Karmine Corp,2015,8700,830
LEC 2025 Spring Season,67118,2025-05-03,Fnatic,Team BDS,Fnatic,2742,4500,623
LEC 2025 Spring Season,66720,2025-04-28,Team Vitality,Team BDS,Team Vitality,1869,9700,-1477
LEC 2025 Spring Season,66717,2025-04-28,SK Gaming,Team Heretics,Team Heretics,2559,-6700,589
LEC 2025 Spring Season,66714,2025-04-27,Movistar KOI,GIANTX,Movistar KOI,1963,16000,387
LEC 2025 Spring Season,66711,2025-04-27,G2 Esports,Fnatic,G2 Esports,1957,11000,4810
LEC 2025 Spring Season,66708,2025-04-26,Movistar KOI,Fnatic,Fnatic,1922,-11000,706
LEC 2025 Spring Season,66705,2025-04-26,GIANTX,G2 Esports,GIANTX,1922,9300,-664
LEC 2025 Spring Season,66279,2025-04-21,Team Vitality,Movistar KOI,Team Vitality,1857,9600,1534
LEC 2025 Spring Season,66276,2025-04-21,SK Gaming,Natus Vincere,SK Gaming,2192,9300,-1543
LEC 2025 Spring Season,66273,2025-04-20,Team BDS,G2 Esports,Team BDS,2428,2400,1224
LEC 2025 Spring Season,66270,2025-04-20,Team Heretics,Team Vitality,Team Heretics,2179,10000,2106
LEC 2025 Spring Season,66267,2025-04-19,Karmine Corp,GIANTX,Karmine Corp,1904,11200,-639
LEC 2025 Spring Season,66264,2025-04-19,Fnatic,Natus Vincere,Fnatic,1643,16900,3665
LEC 2025 Spring Season,65784,2025-04-14,Team Heretics,Karmine Corp,Team Heretics,2558,10600,1257
LEC 2025 Spring Season,65781,2025-04-14,GIANTX,SK Gaming,SK Gaming,2232,-8100,-1070
LEC 2025 Spring Season,65778,2025-04-13,Team BDS,Movistar KOI,Movistar KOI,1761,-12500,-1905
LEC 2025 Spring Season,65775,2025-04-13,Team Vitality,Fnatic,Fnatic,2382,-11100,3272
LEC 2025 Spring Season,65772,2025-04-12,Karmine Corp,SK Gaming,Karmine Corp,1640,14900,1273
LEC 2025 Spring Season,65769,2025-04-12,Natus Vincere,G2 Esports,G2 Esports,2123,-13300,-1165
LEC 2025 Spring Season,65766,2025-04-12,Team Heretics,Team BDS,Team Heretics,2514,-3700,-3224
LEC 2025 Spring Season,65425,2025-04-07,Movistar KOI,Team Heretics,Movistar KOI,1913,10600,-555
LEC 2025 Spring Season,65422,2025-04-07,GIANTX,Natus Vincere,GIANTX,3339,9800,496
LEC 2025 Spring Season,65419,2025-04-06,Karmine Corp,Fnatic,Karmine Corp,1991,9200,3068
LEC 2025 Spring Season,65416,2025-04-06,Team BDS,SK Gaming,Team BDS,2025,7600,87
LEC 2025 Spring Season,65413,2025-04-05,G2 Esports,Team Heretics,G2 Esports,1990,12600,3907
LEC 2025 Spring Season,65410,2025-04-05,Team BDS,Karmine Corp,Karmine Corp,1914,-13700,547
LEC 2025 Spring Season,65407,2025-04-05,Natus Vincere,Team Vitality,Natus Vincere,2568,7600,-1250
LEC 2025 Spring Season,65223,2025-03-31,SK Gaming,Fnatic,SK Gaming,1902,10900,1594
LEC 2025 Spring Season,65220,2025-03-31,Team BDS,Natus Vincere,Natus Vincere,2251,-6700,219
LEC 2025 Spring Season,65217,2025-03-30,Karmine Corp,Movistar KOI,Karmine Corp,1895,13600,-187
LEC 2025 Spring Season,65214,2025-03-30,GIANTX,Team Vitality,Team Vitality,1766,-9100,781
LEC 2025 Spring Season,65211,2025-03-29,G2 Esports,Movistar KOI,G2 Esports,1724,12900,-573
LEC 2025 Spring Season,65208,2025-03-29,Natus Vincere,Team Heretics,Team Heretics,2120,200,3283
LEC 2025 Spring Season,65205,2025-03-29,Fnatic,GIANTX,Fnatic,1675,16100,3860
LEC 2025 Spring Season,67553,2025-05-12,Natus Vincere,Movistar KOI,Movistar KOI,2127,-7000,415
LEC 2025 Spring Season,67550,2025-05-12,Team Heretics,GIANTX,GIANTX,1699,-12200,-161
LEC 2025 Spring Season,67547,2025-05-11,Karmine Corp,G2 Esports,Karmine Corp,1955,14700,72
LEC 2025 Spring Season,67548,2025-05-11,G2 Esports,Karmine Corp,Karmine Corp,1648,-11900,-790
LEC 2025 Spring Season,67544,2025-05-11,Team Vitality,SK Gaming,Team Vitality,1735,16000,3195
LEC 2025 Spring Season,67541,2025-05-10,Team Vitality,Karmine Corp,Team Vitality,2527,3000,135
LEC 2025 Spring Season,67542,2025-05-10,Karmine Corp,Team Vitality,Karmine Corp,1712,11900,676
LEC 2025 Spring Season,67538,2025-05-10,G2 Esports,SK Gaming,G2 Esports,1805,11700,831
LEC 2025 Spring Season,67134,2025-05-05,SK Gaming,Movistar KOI,Movistar KOI,1716,-17300,-3064
LEC 2025 Spring Season,67131,2025-05-05,Team Heretics,Fnatic,Fnatic,1510,-8400,-510
LEC 2025 Spring Season,67128,2025-05-04,G2 Esports,Team Vitality,G2 Esports,1975,15100,2471
LEC 2025 Spring Season,67125,2025-05-04,GIANTX,Team BDS,GIANTX,1682,13600,1641
LEC 2025 Spring Season,67122,2025-05-03,Karmine Corp,Natus Vincere,Karmine Corp,1675,17600,2749
LEC 2025 Spring Season,67119,2025-05-03,Fnatic,Team BDS,Fnatic,2017,13900,1971
LEC 2025 Spring Season,66721,2025-04-28,Team Vitality,Team BDS,Team BDS,2095,-6800,-85
LEC 2025 Spring Season,66722,2025-04-28,Team Vitality,Team BDS,Team Vitality,2081,-2000,-1793
LEC 2025 Spring Season,66718,2025-04-28,Team Heretics,SK Gaming,Team Heretics,2108,8700,126
LEC 2025 Spring Season,66715,2025-04-27,GIANTX,Movistar KOI,GIANTX,1660,12300,-521
LEC 2025 Spring Season,66716,2025-04-27,Movistar KOI,GIANTX,Movistar KOI,1891,12400,1113
LEC 2025 Spring Season,66712,2025-04-27,Fnatic,G2 Esports,Fnatic,1649,15300,2422
LEC 2025 Spring Season,66713,2025-04-27,G2 Esports,Fnatic,Fnatic,1911,-12700,-2697
LEC 2025 Spring Season,66709,2025-04-26,Movistar KOI,Fnatic,Movistar KOI,1828,10100,1499
LEC 2025 Spring Season,66710,2025-04-26,Movistar KOI,Fnatic,Movistar KOI,3206,400,-1323
LEC 2025 Spring Season,66706,2025-04-26,GIANTX,G2 Esports,G2 Esports,1871,-8500,-531
LEC 2025 Spring Season,66707,2025-04-26,GIANTX,G2 Esports,GIANTX,2427,7000,-1150
LEC 2025 Spring Season,66280,2025-04-21,Movistar KOI,Team Vitality,Team Vitality,1887,-11300,-2520
LEC 2025 Spring Season,66277,2025-04-21,Natus Vincere,SK Gaming,Natus Vincere,1864,8600,1502
LEC 2025 Spring Season,66278,2025-04-21,SK Gaming,Natus Vincere,Natus Vincere,1836,-15700,-2873
LEC 2025 Spring Season,66274,2025-04-20,G2 Esports,Team BDS,Team BDS,2734,-2000,3134
LEC 2025 Spring Season,66271,2025-04-20,Team Vitality,Team Heretics,Team Heretics,2362,-7200,-1008
LEC 2025 Spring Season,66268,2025-04-19,GIANTX,Karmine Corp,GIANTX,2511,-700,-443
LEC 2025 Spring Season,66269,2025-04-19,Karmine Corp,GIANTX,Karmine Corp,1852,9100,1279
LEC 2025 Spring Season,66265,2025-04-19,Natus Vincere,Fnatic,Fnatic,1648,-13600,-3521
LEC 2025 Spring Season,65785,2025-04-14,Karmine Corp,Team Heretics,Karmine Corp,2399,9900,-1914
LEC 2025 Spring Season,65786,2025-04-14,Team Heretics,Karmine Corp,Karmine Corp,1856,-5400,1653
LEC 2025 Spring Season,65782,2025-04-14,GIANTX,SK Gaming,SK Gaming,2200,-6300,-762
LEC 2025 Spring Season,65779,2025-04-13,Movistar KOI,Team BDS,Movistar KOI,1551,12700,795
LEC 2025 Spring Season,65776,2025-04-13,Fnatic,Team Vitality,Fnatic,1666,12500,-65
LEC 2025 Spring Season,65773,2025-04-12,SK Gaming,Karmine Corp,Karmine Corp,1800,-14600,140
LEC 2025 Spring Season,65770,2025-04-12,G2 Esports,Natus Vincere,G2 Esports,2168,12100,2740
LEC 2025 Spring Season,65767,2025-04-12,Team BDS,Team Heretics,Team BDS,1971,8600,-1089
LEC 2025 Spring Season,65768,2025-04-12,Team Heretics,Team BDS,Team Heretics,1950,9700,-140
LEC 2025 Spring Season,65426,2025-04-07,Team Heretics,Movistar KOI,Movistar KOI,2097,-11300,-318
LEC 2025 Spring Season,65423,2025-04-07,Natus Vincere,GIANTX,GIANTX,1884,-14300,277
LEC 2025 Spring Season,65420,2025-04-06,Fnatic,Karmine Corp,Fnatic,2280,9100,1414
LEC 2025 Spring Season,65421,2025-04-06,Karmine Corp,Fnatic,Fnatic,1862,-13400,-4164
LEC 2025 Spring Season,65417,2025-04-06,Team BDS,SK Gaming,Team BDS,1682,14300,2950
LEC 2025 Spring Season,65414,2025-04-05,Team Heretics,G2 Esports,G2 Esports,2138,-11000,25
LEC 2025 Spring Season,65411,2025-04-05,Karmine Corp,Team BDS,Karmine Corp,2147,6700,-2028
LEC 2025 Spring Season,65408,2025-04-05,Natus Vincere,Team Vitality,Natus Vincere,1994,8900,4486
LEC 2025 Spring Season,65224,2025-03-31,Fnatic,SK Gaming,SK Gaming,2020,1100,80
LEC 2025 Spring Season,65221,2025-03-31,Natus Vincere,Team BDS,Team BDS,2119,-13200,-1513
LEC 2025 Spring Season,65222,2025-03-31,Team BDS,Natus Vincere,Team BDS,1979,6700,1180
LEC 2025 Spring Season,65218,2025-03-30,Movistar KOI,Karmine Corp,Movistar KOI,2096,12400,-142
LEC 2025 Spring Season,65219,2025-03-30,Karmine Corp,Movistar KOI,Karmine Corp,2617,11800,-669
LEC 2025 Spring Season,65215,2025-03-30,GIANTX,Team Vitality,Team Vitality,1771,-9900,-845
LEC 2025 Spring Season,65212,2025-03-29,Movistar KOI,G2 Esports,Movistar KOI,2242,4900,-173
LEC 2025 Spring Season,65213,2025-03-29,Movistar KOI,G2 Esports,G2 Esports,1742,-13100,-2179
LEC 2025 Spring Season,65209,2025-03-29,Natus Vincere,Team Heretics,Team Heretics,1745,-11200,-1206
LEC 2025 Spring Season,65206,2025-03-29,GIANTX,Fnatic,Fnatic,2140,-2000,1021
LEC 2025 Spring Playoffs,69035,2025-06-08,G2 Esports,Movistar KOI,Movistar KOI,2464,-10500,-1134
LEC 2025 Spring Playoffs,68845,2025-06-07,Movistar KOI,Karmine Corp,Karmine Corp,2002,-14200,176
LEC 2025 Spring Playoffs,68810,2025-06-02,Karmine Corp,Fnatic,Karmine Corp,2165,12300,438
LEC 2025 Spring Playoffs,68549,2025-06-01,Karmine Corp,Team Heretics,Karmine Corp,1645,17000,1277
LEC 2025 Spring Playoffs,68544,2025-05-31,Fnatic,GIANTX,Fnatic,2036,12200,1768
LEC 2025 Spring Playoffs,68539,2025-05-26,Movistar KOI,G2 Esports,G2 Esports,2037,-10100,202
LEC 2025 Spring Playoffs,67956,2025-05-25,Karmine Corp,Movistar KOI,Movistar KOI,2048,-11900,422
LEC 2025 Spring Playoffs,67951,2025-05-24,Fnatic,G2 Esports,Fnatic,1774,9800,739
LEC 2025 Spring Playoffs,69036,2025-06-08,G2 Esports,Movistar KOI,Movistar KOI,2348,-8200,-1984
LEC 2025 Spring Playoffs,69037,2025-06-08,G2 Esports,Movistar KOI,G2 Esports,2198,10200,4
LEC 2025 Spring Playoffs,69038,2025-06-08,Movistar KOI,G2 Esports,Movistar KOI,2202,10400,-1813
LEC 2025 Spring Playoffs,68846,2025-06-07,Movistar KOI,Karmine Corp,Movistar KOI,2273,9000,1832
LEC 2025 Spring Playoffs,68847,2025-06-07,Karmine Corp,Movistar KOI,Movistar KOI,1753,-7600,-1959
LEC 2025 Spring Playoffs,68848,2025-06-07,Karmine Corp,Movistar KOI,Karmine Corp,1659,15100,1262
LEC 2025 Spring Playoffs,68849,2025-06-07,Movistar KOI,Karmine Corp,Movistar KOI,1946,8200,-719
