split,game_id,game_date,team_blue,team_red,winning_team,game_time,gold_diff,gold_diff_at14
LEC Spring Season 2023,47820,2023-03-19,G2 Esports,Team Vitality,G2 Esports,1858,9600,1175
LEC Spring Season 2023,47819,2023-03-19,SK Gaming,Movistar KOI,KOI,2189,-6100,947
LEC Spring Season 2023,47818,2023-03-19,Team Heretics,Fnatic,Fnatic,2438,-11700,-2017
LEC Spring Season 2023,47817,2023-03-19,GIANTX,Movistar KOI,GIANTX,2101,10400,-402
LEC Spring Season 2023,47816,2023-03-19,Team BDS,Astralis,Team BDS,2066,6200,-551
LEC Spring Season 2023,47815,2023-03-18,Movistar KOI,G2 Esports,Movistar KOI,1866,9800,545
LEC Spring Season 2023,47814,2023-03-18,Team Vitality,SK Gaming,Team Vitality,1857,13000,1861
LEC Spring Season 2023,47813,2023-03-18,Fnatic,Team BDS,Team BDS,2042,-13100,-1588
LEC Spring Season 2023,47812,2023-03-18,Team Heretics,GIANTX,Team Heretics,2250,11000,694
LEC Spring Season 2023,47811,2023-03-18,Astralis,Movistar KOI,Movistar KOI,1703,-14200,-3066
LEC Spring Season 2023,46955,2023-03-13,Fnatic,Team Vitality,Team Vitality,1408,-17500,-5766
LEC Spring Season 2023,46954,2023-03-13,G2 Esports,GIANTX,G2 Esports,1527,16200,5666
LEC Spring Season 2023,46953,2023-03-13,Movistar KOI,Movistar KOI,Movistar KOI,1811,7800,1201
LEC Spring Season 2023,46952,2023-03-13,SK Gaming,Astralis,SK Gaming,1454,11500,2733
LEC Spring Season 2023,46951,2023-03-13,Team Heretics,Team BDS,Team BDS,1889,-5000,-694
LEC Spring Season 2023,46950,2023-03-12,Movistar KOI,Team Heretics,Movistar KOI,2812,900,-2160
LEC Spring Season 2023,46949,2023-03-12,Astralis,G2 Esports,Astralis,1988,6500,865
LEC Spring Season 2023,46948,2023-03-12,SK Gaming,Fnatic,SK Gaming,1908,9700,2713
LEC Spring Season 2023,46947,2023-03-12,GIANTX,Team Vitality,Team Vitality,1853,-12900,-3949
LEC Spring Season 2023,46946,2023-03-12,Team BDS,Movistar KOI,Team BDS,1926,10500,675
LEC Spring Season 2023,46945,2023-03-11,G2 Esports,Team Heretics,G2 Esports,1420,11000,2354
LEC Spring Season 2023,46944,2023-03-11,Astralis,Movistar KOI,Astralis,1702,8400,2737
LEC Spring Season 2023,46943,2023-03-11,Team Vitality,Movistar KOI,Team Vitality,1684,12700,1724
LEC Spring Season 2023,46942,2023-03-11,Team BDS,SK Gaming,SK Gaming,2157,-7500,2366
LEC Spring Season 2023,46941,2023-03-11,GIANTX,Fnatic,GIANTX,1811,5800,145
LEC Spring Groups 2023,48930,2023-04-16,G2 Esports,Movistar KOI,KOI,1672,-5700,-2036
LEC Spring Groups 2023,48927,2023-04-16,Astralis,Movistar KOI,Movistar KOI,2277,-15200,-948
LEC Spring Groups 2023,48788,2023-04-15,G2 Esports,SK Gaming,G2 Esports,1793,14900,1536
LEC Spring Groups 2023,48785,2023-04-15,Movistar KOI,Fnatic,Movistar KOI,1799,10000,3034
LEC Spring Groups 2023,48782,2023-04-10,Team BDS,Movistar KOI,Team BDS,1747,13800,2302
LEC Spring Groups 2023,48779,2023-04-10,Astralis,Team Vitality,Team Vitality,1824,-9600,-500
LEC Spring Groups 2023,48444,2023-04-09,G2 Esports,Movistar KOI,G2 Esports,1836,13200,3213
LEC Spring Groups 2023,48441,2023-04-09,Team BDS,SK Gaming,Team BDS,1830,8400,583
LEC Spring Groups 2023,48438,2023-04-08,Team Vitality,Movistar KOI,Team Vitality,1983,10700,935
LEC Spring Groups 2023,48435,2023-04-08,Astralis,Fnatic,Astralis,2027,11000,1831
LEC Spring Groups 2023,48931,2023-04-16,G2 Esports,Movistar KOI,G2 Esports,1281,14200,4571
LEC Spring Groups 2023,48932,2023-04-16,Movistar KOI,G2 Esports,G2 Esports,2125,-7300,-172
LEC Spring Groups 2023,48928,2023-04-16,Astralis,Movistar KOI,Movistar KOI,1929,-10200,-2907
LEC Spring Groups 2023,48789,2023-04-15,SK Gaming,G2 Esports,G2 Esports,1425,-13500,-4643
LEC Spring Groups 2023,48786,2023-04-15,Fnatic,Movistar KOI,Fnatic,1742,8400,-553
LEC Spring Groups 2023,48787,2023-04-15,Movistar KOI,Fnatic,Movistar KOI,2167,4700,1952
LEC Spring Groups 2023,48783,2023-04-10,Movistar KOI,Team BDS,Team BDS,1691,-9600,1333
LEC Spring Groups 2023,48780,2023-04-10,Astralis,Team Vitality,Team Vitality,1390,-15500,-2624
LEC Spring Groups 2023,48445,2023-04-09,Movistar KOI,G2 Esports,Movistar KOI,1893,14900,1264
LEC Spring Groups 2023,48446,2023-04-09,G2 Esports,Movistar KOI,KOI,1682,-12400,-578
LEC Spring Groups 2023,48442,2023-04-09,SK Gaming,Team BDS,Team BDS,1733,-7100,807
LEC Spring Groups 2023,48439,2023-04-08,Movistar KOI,Team Vitality,Team Vitality,1752,-9300,-2784
LEC Spring Groups 2023,48436,2023-04-08,Astralis,Fnatic,Fnatic,1801,-14900,-8027
LEC Spring Groups 2023,48437,2023-04-08,Astralis,Fnatic,Astralis,1998,7400,407
LEC Spring Playoffs 2023,48958,2023-04-23,Team BDS,Movistar KOI,Team BDS,2011,5700,568
LEC Spring Playoffs 2023,48954,2023-04-22,Team Vitality,Movistar KOI,Movistar KOI,1666,-14700,-2186
LEC Spring Playoffs 2023,48936,2023-04-21,G2 Esports,Movistar KOI,G2 Esports,1661,12000,1170
LEC Spring Playoffs 2023,48933,2023-04-17,Team BDS,Team Vitality,Team BDS,2192,6600,2537
LEC Spring Playoffs 2023,48959,2023-04-23,Movistar KOI,Team BDS,Team BDS,1858,-2900,2198
LEC Spring Playoffs 2023,48960,2023-04-23,Movistar KOI,Team BDS,Movistar KOI,1761,11200,-33
LEC Spring Playoffs 2023,48961,2023-04-23,Team BDS,Movistar KOI,Movistar KOI,1431,-14000,-7527
LEC Spring Playoffs 2023,48962,2023-04-23,Team BDS,Movistar KOI,Movistar KOI,1683,-13700,-2513
LEC Spring Playoffs 2023,48955,2023-04-22,Team Vitality,Movistar KOI,Team Vitality,1609,11300,1490
LEC Spring Playoffs 2023,48956,2023-04-22,Movistar KOI,Team Vitality,Movistar KOI,2233,11700,895
LEC Spring Playoffs 2023,48957,2023-04-22,Team Vitality,Movistar KOI,Movistar KOI,1744,-14100,-2016
