role,tier,champion,opponent,winrate
support,master_plus,Nami,Braum,57.14
support,master_plus,Nami,Elise,38.3
support,master_plus,Nami,Janna,51.35
support,master_plus,Nami,Karma,47.92
support,master_plus,Nami,Leona,50.0
support,master_plus,Nami,Lulu,53.16
support,master_plus,Nami,Lux,50.0
support,master_plus,Nami,Mel,60.47
support,master_plus,Nami,Milio,51.09
support,master_plus,Nami,Morgana,60.87
support,master_plus,Nami,Nautilus,49.44
support,master_plus,Nami,Neeko,52.78
support,master_plus,Nami,Others,50.0
support,master_plus,Nami,Pantheon,59.52
support,master_plus,Nami,Poppy,44.9
support,master_plus,Nami,Pyke,50.38
support,master_plus,Nami,Rakan,54.81
support,master_plus,Nami,Rell,42.61
support,master_plus,Nami,Renata Glasc,67.74
support,master_plus,Nami,Senna,44.09
support,master_plus,Nami,Seraphine,51.32
support,master_plus,Nami,Sona,54.14
support,master_plus,Nami,Soraka,65.22
support,master_plus,Nami,Taric,50.0
support,master_plus,Nami,Thresh,50.23
support,master_plus,Nami,Vel'Koz,37.25
support,master_plus,Nami,Yuumi,53.85
support,master_plus,Nami,Zilean,59.26
support,master_plus,Nami,Zoe,50.0
support,master_plus,Nami,Zyra,42.86
support,master_plus,Nautilus,Alistar,44.39
support,master_plus,Nautilus,Bard,50.0
support,master_plus,Nautilus,Blitzcrank,55.34
support,master_plus,Nautilus,Braum,47.8
support,master_plus,Nautilus,Elise,64.58
support,master_plus,Nautilus,Janna,49.25
support,master_plus,Nautilus,Karma,48.11
support,master_plus,Nautilus,Leona,42.86
support,master_plus,Nautilus,Lulu,61.14
support,master_plus,Nautilus,Lux,51.28
support,master_plus,Nautilus,Milio,50.39
support,master_plus,Nautilus,Morgana,48.53
support,master_plus,Nautilus,Nami,50.56
support,master_plus,Nautilus,Neeko,44.05
support,master_plus,Nautilus,Others,50.0
support,master_plus,Nautilus,Pantheon,57.58
support,master_plus,Nautilus,Poppy,47.06
support,master_plus,Nautilus,Pyke,54.23
support,master_plus,Nautilus,Rakan,49.19
support,master_plus,Nautilus,Rell,39.88
support,master_plus,Nautilus,Senna,43.48
support,master_plus,Nautilus,Seraphine,53.03
support,master_plus,Nautilus,Sona,46.46
